Circular: qc = 1.1, qa = 2.6, mu = 2.0, epsa = 0.2
 1.1000e+00  3.6000e+00  1.1000e-01  2.0000e+00  2.0000e-01 6.999e-01  2.396e-01 4.603e-01 -1.512e-01 1.507e+01 1.001e+00 -9.627e-01 1.291e+01 1.009e+00
 1.1000e+00  3.6000e+00  1.2000e-01  2.0000e+00  2.0000e-01 6.906e-01  2.244e-01 4.662e-01 -1.742e-01 1.640e+01 1.001e+00 -1.002e+00 1.403e+01 1.009e+00
 1.1000e+00  3.6000e+00  1.3000e-01  2.0000e+00  2.0000e-01 6.798e-01  2.070e-01 4.728e-01 -1.953e-01 1.772e+01 1.001e+00 -1.038e+00 1.515e+01 1.009e+00
 1.1000e+00  3.6000e+00  1.4000e-01  2.0000e+00  2.0000e-01 6.674e-01  1.872e-01 4.803e-01 -2.147e-01 1.904e+01 1.001e+00 -1.072e+00 1.626e+01 1.009e+00
 1.1000e+00  3.6000e+00  1.5000e-01  2.0000e+00  2.0000e-01 6.534e-01  1.645e-01 4.889e-01 -2.327e-01 2.035e+01 1.001e+00 -1.102e+00 1.736e+01 1.009e+00
 1.1000e+00  3.6000e+00  1.6000e-01  2.0000e+00  2.0000e-01 6.374e-01  1.387e-01 4.988e-01 -2.492e-01 2.166e+01 1.001e+00 -1.127e+00 1.846e+01 1.009e+00
 1.1000e+00  3.6000e+00  1.7000e-01  2.0000e+00  2.0000e-01 6.195e-01  1.093e-01 5.103e-01 -2.644e-01 2.296e+01 1.001e+00 -1.147e+00 1.955e+01 1.009e+00
 1.1000e+00  3.6000e+00  1.8000e-01  2.0000e+00  2.0000e-01 5.994e-01  7.575e-02 5.236e-01 -2.782e-01 2.425e+01 1.001e+00 -1.159e+00 2.063e+01 1.009e+00
 1.1000e+00  3.6000e+00  1.9000e-01  2.0000e+00  2.0000e-01 5.768e-01  3.755e-02 5.393e-01 -2.905e-01 2.554e+01 1.001e+00 -1.161e+00 2.170e+01 1.008e+00
 1.1000e+00  3.6000e+00  2.0000e-01  2.0000e+00  2.0000e-01 5.516e-01 -6.044e-03 5.577e-01 -3.011e-01 2.682e+01 1.001e+00 -1.152e+00 2.277e+01 1.008e+00
 1.1000e+00  3.6000e+00  2.1000e-01  2.0000e+00  2.0000e-01 5.235e-01 -5.589e-02 5.794e-01 -3.095e-01 2.809e+01 1.001e+00 -1.128e+00 2.383e+01 1.008e+00
 1.1000e+00  3.6000e+00  2.2000e-01  2.0000e+00  2.0000e-01 4.920e-01 -1.130e-01 6.050e-01 -3.154e-01 2.937e+01 1.001e+00 -1.084e+00 2.487e+01 1.007e+00
 1.1000e+00  3.6000e+00  2.3000e-01  2.0000e+00  2.0000e-01 4.566e-01 -1.753e-01 6.320e-01 -3.176e-01 3.063e+01 1.001e+00 -1.011e+00 2.591e+01 1.007e+00
 1.1000e+00  3.6000e+00  2.4000e-01  2.0000e+00  2.0000e-01 4.182e-01 -2.525e-01 6.707e-01 -3.156e-01 3.189e+01 1.001e+00 -9.023e-01 2.694e+01 1.006e+00
 1.1000e+00  3.6000e+00  2.5000e-01  2.0000e+00  2.0000e-01 3.745e-01 -3.400e-01 7.145e-01 -3.061e-01 3.315e+01 1.001e+00 -7.319e-01 2.795e+01 1.005e+00
 1.1000e+00  3.6000e+00  2.6000e-01  2.0000e+00  2.0000e-01 3.258e-01 -4.402e-01 7.660e-01 -2.855e-01 3.440e+01 1.001e+00 -4.673e-01 2.894e+01 1.003e+00
 1.1000e+00  3.6000e+00  2.7000e-01  2.0000e+00  2.0000e-01 2.714e-01 -5.557e-01 8.271e-01 -2.452e-01 3.565e+01 1.001e+00 -3.550e-02 2.989e+01 1.000e+00
 1.1000e+00  3.6000e+00  2.8000e-01  2.0000e+00  2.0000e-01 2.106e-01 -6.891e-01 8.997e-01 -1.649e-01 3.689e+01 1.001e+00  7.309e-01 3.077e+01 9.955e-01
 1.1000e+00  3.6000e+00  2.8500e-01  2.0000e+00  2.0000e-01 1.776e-01 -7.633e-01 9.409e-01 -9.402e-02 3.750e+01 1.000e+00  1.363e+00 3.116e+01 9.916e-01
 1.1000e+00  3.6000e+00  2.9000e-01  2.0000e+00  2.0000e-01 1.428e-01 -8.429e-01 9.857e-01  1.921e-02 3.810e+01 9.999e-01  2.327e+00 3.147e+01 9.853e-01
 1.1000e+00  3.6000e+00  2.9250e-01  2.0000e+00  2.0000e-01 1.246e-01 -8.849e-01 1.010e+00  1.042e-01 3.840e+01 9.996e-01  3.022e+00 3.157e+01 9.805e-01 
 1.1000e+00  3.6000e+00  2.9500e-01  2.0000e+00  2.0000e-01 1.060e-01 -9.284e-01 1.034e+00  2.218e-01 3.869e+01 9.991e-01  3.955e+00 3.160e+01 9.738e-01
 1.1000e+00  3.6000e+00  2.9750e-01  2.0000e+00  2.0000e-01 8.679e-02 -9.734e-01 1.060e+00  3.941e-01 3.897e+01 9.983e-01  5.263e+00 3.152e+01 9.638e-01
 1.1000e+00  3.6000e+00  3.0000e-01  2.0000e+00  2.0000e-01 6.709e-02 -1.020e+00 1.087e+00  6.687e-01 3.922e+01 9.968e-01  7.222e+00 3.122e+01 9.473e-01
 1.1000e+00  3.6000e+00  3.0250e-01  2.0000e+00  2.0000e-01 4.685e-02 -1.068e+00 1.115e+00  1.168e+00 3.940e+01 9.934e-01  1.043e+01 3.042e+01 9.160e-01
 1.1000e+00  3.6000e+00  3.0500e-01  2.0000e+00  2.0000e-01 2.606e-02 -1.118e+00 1.144e+00  2.313e+00 3.923e+01 9.816e-01  1.649e+01 2.818e+01 8.420e-01
 1.1000e+00  3.6000e+00  3.0625e-01  2.0000e+00  2.0000e-01 1.545e-02 -1.143e+00 1.159e+00  3.554e+00 3.850e+01 9.596e-01  2.185e+01 2.553e+01 7.600e-01
 1.1000e+00  3.6000e+00  3.0750e-01  2.0000e+00  2.0000e-01 4.704e-03 -1.169e+00 1.174e+00  5.439e+00 3.564e+01 8.850e-01  3.045e+01 2.030e+01 6.021e-01
