Circular: qc = 1.1, qa = 2.6, mu = 2.0, epsa = 0.2
 1.1000e+00  3.6000e+00  1.0000e-03  2.0000e+00  2.0000e-01 7.322e-01  3.103e-01 4.219e-01  2.646e+00 1.325e-01 9.451e-01 -9.424e-01 1.226e-01 1.017e+00
 1.1000e+00  3.6000e+00  1.0000e-02  2.0000e+00  2.0000e-01 7.330e-01  3.089e-01 4.241e-01  9.655e-01 1.380e+00 9.855e-01 -7.990e-01 1.218e+00 1.013e+00 
 1.1000e+00  3.6000e+00  2.0000e-02  2.0000e+00  2.0000e-01 7.334e-01  3.067e-01 4.267e-01  4.896e-01 2.778e+00 9.941e-01 -7.310e-01 2.424e+00 1.010e+00
 1.1000e+00  3.6000e+00  3.0000e-02  2.0000e+00  2.0000e-01 7.332e-01  3.038e-01 4.294e-01  2.803e-01 4.171e+00 9.971e-01 -7.106e-01 3.620e+00 1.009e+00
 1.1000e+00  3.6000e+00  4.0000e-02  2.0000e+00  2.0000e-01 7.322e-01  2.999e-01 4.323e-01  1.597e-01 5.558e+00 9.985e-01 -7.162e-01 4.809e+00 1.009e+00
 1.1000e+00  3.6000e+00  5.0000e-02  2.0000e+00  2.0000e-01 7.305e-01  2.951e-01 4.354e-01  7.916e-02 6.937e+00 9.993e-01 -7.368e-01 5.989e+00 1.009e+00
 1.1000e+00  3.6000e+00  6.0000e-02  2.0000e+00  2.0000e-01 7.280e-01  2.893e-01 4.387e-01  1.996e-02 8.310e+00 9.998e-01 -7.667e-01 7.162e+00 1.008e+00
 1.1000e+00  3.6000e+00  7.0000e-02  2.0000e+00  2.0000e-01 7.245e-01  2.823e-01 4.423e-01 -2.649e-02 9.676e+00 1.000e+00 -8.022e-01 8.327e+00 1.008e+00
 1.1000e+00  3.6000e+00  8.0000e-02  2.0000e+00  2.0000e-01 7.201e-01  2.739e-01 4.462e-01 -6.470e-02 1.104e+01 1.000e+00 -8.410e-01 9.484e+00 1.008e+00
 1.1000e+00  3.6000e+00  9.0000e-02  2.0000e+00  2.0000e-01 7.145e-01  2.641e-01 4.504e-01 -9.726e-02 1.239e+01 1.001e+00 -8.815e-01 1.063e+01 1.009e+00
 1.1000e+00  3.6000e+00  1.0000e-01  2.0000e+00  2.0000e-01 7.078e-01  2.527e-01 4.551e-01 -1.257e-01 1.373e+01 1.001e+00 -9.223e-01 1.177e+01 1.009e+00
