delta		T0inf
 0.00		6.8972e-01
 0.05		6.8925e-01	
 0.10	      	6.8784e-01  
 0.15		6.8548e-01	
 0.20		6.8217e-01
 0.25		6.7789e-01	
 0.30		6.7262e-01
 0.35		6.6635e-01
 0.40	        6.5905e-01
 0.45	        6.5071e-01
 0.50		6.4131e-01
 0.55		6.3084e-01
 0.60	        6.1929e-01
 0.65		6.0666e-01
 0.70		5.9298e-01
 0.75		5.7829e-01
 0.80		5.6265e-01
 0.85		5.4617e-01
 0.90		5.2902e-01
 0.95		5.1143e-01
 1.00		4.9376e-01
